Fly,Light,Value,Genotype
3,Off,3.641592824,UAS-ACR
5,On,4.560635915,UAS-ACR
5,Off,3.593335852,UAS-ACR
6,On,2.070021976,UAS-ACR
6,Off,0.608231845,UAS-ACR
7,On,1.930371646,UAS-ACR
7,Off,2.712503583,UAS-ACR
8,On,1.741425109,UAS-ACR
8,Off,0.064216789,UAS-ACR
9,On,0.407805125,UAS-ACR
9,Off,0.231353612,UAS-ACR
10,On,0.638850763,UAS-ACR
10,Off,0.623246511,UAS-ACR
11,On,5.048624114,UAS-ACR
11,Off,2.304208116,UAS-ACR
12,On,3.166462965,UAS-ACR
12,Off,1.295160108,UAS-ACR
13,On,2.502683368,UAS-ACR
13,Off,2.917846733,UAS-ACR
14,On,1.116034375,UAS-ACR
14,Off,0.938157309,UAS-ACR
15,On,4.038276342,UAS-ACR
15,Off,3.427089584,UAS-ACR
16,On,1.887491123,UAS-ACR
16,Off,0.833552694,UAS-ACR
17,On,0.564660918,UAS-ACR
17,Off,2.159379612,UAS-ACR
18,On,1.560628553,UAS-ACR
18,Off,2.917969036,UAS-ACR
19,On,1.129613336,UAS-ACR
19,Off,1.415456108,UAS-ACR
20,On,4.133773064,UAS-ACR
20,Off,5.535257245,UAS-ACR
21,On,1.200265073,UAS-ACR
21,Off,0.166249796,UAS-ACR
22,On,0.320089537,UAS-ACR
22,Off,1.134461555,UAS-ACR
23,On,1.655018102,UAS-ACR
23,Off,1.303140635,UAS-ACR
24,On,1.727182945,UAS-ACR
24,Off,1.515722076,UAS-ACR
25,On,3.115504808,UAS-ACR
25,Off,1.244803452,UAS-ACR
26,On,0.331955912,UAS-ACR
26,Off,2.667328631,UAS-ACR
27,On,1.421574266,UAS-ACR
27,Off,1.659518779,UAS-ACR
28,On,0.658118702,UAS-ACR
28,Off,2.334535319,UAS-ACR
29,On,3.92814436,UAS-ACR
29,Off,2.574856926,UAS-ACR
30,On,1.971762542,UAS-ACR
30,Off,0.332018241,UAS-ACR
31,On,1.8936621,UAS-ACR
31,Off,0.076342047,UAS-ACR
32,On,0.842818618,UAS-ACR
32,Off,0.9044365,UAS-ACR
34,On,0.328395465,UAS-ACR
34,Off,1.565094284,UAS-ACR
35,On,0.116298983,UAS-ACR
35,Off,0.068667257,UAS-ACR
36,On,0.036781808,UAS-ACR
36,Off,1.454252918,UAS-ACR
37,On,1.377058263,UAS-ACR
37,Off,0.402940386,UAS-ACR
38,On,0.162786103,UAS-ACR
38,Off,0.411917209,UAS-ACR
39,On,1.275278903,UAS-ACR
39,Off,0.916159283,UAS-ACR
40,On,0.948904226,UAS-ACR
40,Off,0.737156721,UAS-ACR
41,On,1.468842713,UAS-ACR
41,Off,0.344796424,UAS-ACR
43,On,0.160168318,UAS-ACR
43,Off,0.245189641,UAS-ACR
44,On,1.69557609,UAS-ACR
44,Off,1.005760542,UAS-ACR
45,On,0.341700051,UAS-ACR
45,Off,0.288412795,UAS-ACR
46,On,0.929000377,UAS-ACR
46,Off,0.168749811,UAS-ACR
47,On,2.211128153,UAS-ACR
47,Off,1.542552507,UAS-ACR
